Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
Elenore,The Turtles,The Turtles Present The Battle of the Bands,The Turtles,1968,151306,FALSE,57,"bubblegum pop,classic rock,folk rock,merseybeat,psychedelic rock,rock-and-roll,rockabilly",0.63,0.625,-8.407,0.0375,0.6
Hula Hoop,OMI,Me 4 U,OMI,16/10/2015,205474,FALSE,56,reggae fusion,0.673,0.842,-4.666,0.039,0.0248
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,Guns N' Roses,21/07/1987,273600,FALSE,1,"glam metal,hard rock,rock",0.445,0.955,-8.027,0.0856,0.0326
How Deep Is Your Love,Dru Hill,Enter The Dru,Dru Hill,27/10/1998,243360,TRUE,0,"contemporary r&b,r&b,urban contemporary",0.725,0.446,-9.097,0.077,0.0354
Untitled (How Could This Happen to Me?),Simple Plan,Still Not Getting Any,Simple Plan,25/10/2004,239813,FALSE,57,"canadian pop punk,canadian punk,canadian rock,modern rock,neon pop punk,pop punk,pop rock",0.208,0.342,-8.702,0.0327,0.875
Surfer Girl - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),The Beach Boys,16/09/1963,148533,FALSE,51,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop",0.522,0.372,-8.364,0.0253,0.659
Spin,Cassette Kids,Nothing On TV,Cassette Kids,19/04/2010,217013,FALSE,0,,0.566,0.853,-3.46,0.0366,0.000335
SO DONE,The Kid LAROI,SO DONE,The Kid LAROI,23/10/2020,126521,FALSE,0,australian hip hop,0.719,0.598,-6.254,0.077,0.232
Padam Padam,Kylie Minogue,Padam Padam,Kylie Minogue,19/05/2023,166266,FALSE,45,"australian dance,australian pop,dance pop,eurodance,new wave pop",0.744,0.62,-7.93,0.246,0.214
Crimson and Clover,Joan Jett & the Blackhearts,I Love Rock 'N Roll,Joan Jett & the Blackhearts,05/02/2013,197426,FALSE,0,"glam punk,rock",0.181,0.745,-5.241,0.0359,0.0483
Grease,Frankie Valli,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,14/01/2003,201866,FALSE,53,"adult standards,bubblegum pop,lounge",0.81,0.474,-8.697,0.0467,0.218
Can't Get Used to Losing You,Andy Williams,The Essential Andy Williams,Andy Williams,13/05/2013,141786,FALSE,29,"adult standards,easy listening",0.435,0.256,-9.473,0.0385,0.897
